block,tx_hash,log_index,event,sender,owner,tickLower,tickUpper,liquidity,amount0,amount1
19322709,0xb65eeab0f271f1596ba1fce34951775b6fb61a68de07d9071b74c0f36870af12,21,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67830,67840,22453777057,0,333566451
19323623,0xefcd38a830b7b7549ee2f41ab7586935377c6a8a5e3d26ff78edf8cca63ce695,20,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67860,67870,22420123186,0,333566449
19323712,0xa687bca7acd662d6b930e2598326ed1a3d5855995b1c6f694fdfa8645c013942,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63880,68880,161802328118,256806577,880647855900
19324158,0xdb1a20ef46e9870c83a6f91a9bfd0d4dbe389ed47910baa0e097e403f07b7498,12,Mint,0x5977767ef6324864f170318681eccb82315f8761,0x5977767ef6324864f170318681eccb82315f8761,67080,68220,72036546,39496,85244756
19324997,0xe74d3f1ae2559c0bca28116c4ddbce6e824593bf8e7edb879ec7ed78cbbc61ff,35,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63930,68930,161982001893,285879046,857665914966
19325414,0xa057612c30941b368014321b7239b931cf627a58c43da16bb6c7bca3051e85f2,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67840,67850,22407685754,376863,0
19327222,0xb37e89938ec92ee7f40d856dd5748b960679561a622c6f89639aed8617f68f73,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67830,67840,22401417855,376946,0
19328110,0xeba8eb3e1d1d38db3ee411cebade97e50acc170ac28146d0da39d8542ac6cad5,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67800,67810,22375853447,377081,0
19329162,0xbeeca3b4a3aa329b12f707e7d9b04cb6adab5eb253b68618f9b070139b6a59e5,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63920,68920,161655985774,287746268,853480872039
19329910,0x7969524fb83e2806adc16ab256187a799feaa4fa9563a62adf4cbf9291c524fb,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67880,67890,22297383206,0,332072214
19330821,0x42d036b8851a5a9895239b67431864a23e668cdb6e686a2fddb8155b9f8e2ced,23,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67850,67860,22268862663,374341,0
19331709,0x6c2de0d92df9cee6660b8ce81276d6f9b7dd32917cea37a130039ac25609bf83,11,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67820,67830,22235367278,374339,0
19332614,0xb15e2b536f56ebda93d7b5f0f03b2925c6cd3d5d2af1a9aca2a524d1c132fe7c,8,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67790,67800,22201922274,374337,0
19333107,0x4f22560303822feedec6ccc86dc404dea145d5986cb5e065b168dde5194906b6,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63930,68930,162051886908,300382291,845352790521
19333510,0x3003a1dd212ce6f217256bf5050388f8f84c8274bea459154604593ceb4b8416,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67800,67810,22195874353,0,329240920
19334422,0x4a9ec089603941c1866378253b3564758cae2dee2a4ea4999899700ff5a093a1,10,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67790,67800,22189645107,374130,0
19335310,0x83789928eb3d9a0f4d6f38c5f2d345a36a3004ec5572131b3f701991e1c629d9,47,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67620,67630,22001724193,374128,0
19336825,0xcc465f1db02ccbafd8d2378bbc0b0dfbdef5b1c027a037c229fe5d23b04abc06,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63950,68950,162979382166,368713848,792770739084
19337110,0x15a85488a55adc347e9987a9c1ea4f830dc9e389b57b2435eb8f88c7dc4a01ee,19,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67610,67620,21990609073,374126,0
