block,tx_hash,log_index,event,owner,tickLower,tickUpper,liquidity,amount0,amount1
19267814,0xa4b6751a045c9d9c454d0c24f0c414dc813c9e178721f0edf4892eb6d557de47,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67550,67560,22761935490,0,333443554
19268373,0xaf647cde381dca0536ce919ced8a6395ef61897405f52675a35a9ac214c0dfb4,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163090477267,356767732,802837012119
19272098,0x877026f23da8561fba9f3a9cdfb97de7df2dbe0f55abd0a87ea51a331e195d25,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163068865737,361931902,798248285214
19273251,0x7748a1e792a8785b09a28ea81c1c55256ad7358402b01d9a3e5fd58a159b88c6,19,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163078152630,356115223,803314938180
19276920,0x2a7cb966ffb49290c84dcea2da1e9e90151358b492d3b031e163f3f1ff0565f1,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163068211695,356094877,803264797265
19277709,0x62183d4bce2db6db2c4ed980733722d36de2a3668740f02176aef1ded4a854cb,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67570,67580,22746765539,387765,0
19278640,0x334f6259fb3c6776f8abf1b5b79ca4f4211903b68f4ea1bdb9f38e279fb710c7,1,Burn,0x5977767ef6324864f170318681eccb82315f8761,70320,72480,45490502,138413,0
19281032,0x99f69ff7084bbf07302e12dae76286effe6b30c651cdaa85e333aa94ce4200cc,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163068382399,356054107,803301066183
19281307,0x5cce082d9477d27f199b870d252abdd52b753e25f36d5e43cf9f8258d45e55b7,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67560,67570,22747696610,0,333401617
19283110,0x65161fbedcd35a35a746eb32010057bfae26aba713a2f212874ab53c598e03a7,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67600,67610,22707414750,0,333477481
19284831,0x44b0068cdee8f8b21f47e06d3cd712aa7a3065a31fc58aded86cdbfae9393f3a,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163068818393,344074926,813641689898
19285814,0xb0381da901f2b20de2e2ea935221111ac3e6015d33cb2b2771f352633a9fba37,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67620,67630,22686170243,385766,0
