block,amount0,amount1,totalSupply,price,share_price_usd,vault_value_usd
20668958,42846,82951193,59815574,89953.65,2.0311220616e-06,121.49
20678958,45228,80810649,59815574,89766.77,2.0297450246e-06,121.41
20688958,48845,77569287,59815574,89484.16,2.0275292315e-06,121.28
20698958,47830,78477758,59815574,89563.32,2.0281656990e-06,121.32
20708958,43283,82558529,59815574,89919.35,2.0308811452e-06,121.48
20718958,43878,82022828,59815574,89872.57,2.0305266235e-06,121.46
20728958,44151,81777841,59815574,89851.18,2.0303748569e-06,121.45
20738958,40385,85167683,59815574,90147.36,2.0324755698e-06,121.57
20748958,31977,92774783,59815574,90813.77,2.0364980662e-06,121.81
20758958,28524,95915316,59815574,91089.60,2.0378925791e-06,121.90
20768958,31306,93384018,59815574,90867.24,2.0367758573e-06,121.83
20778958,30942,93715627,59815574,90896.36,2.0369407117e-06,121.84
20788958,32573,92233549,59815574,90766.27,2.0362396961e-06,121.80
20798958,32757,92066625,59815574,90751.62,2.0361609287e-06,121.79
20808958,31687,93037874,59815574,90836.86,2.0366158972e-06,121.82
20818958,28156,96250589,59815574,91119.08,2.0380323668e-06,121.91
20828958,22725,101210831,59815574,91555.66,2.0398843865e-06,122.02
20838958,10373,112581686,59815574,92560.43,2.0426616634e-06,122.18
20848958,14303,108951080,59815574,92239.02,2.0420104590e-06,122.14
20858958,12726,110406442,59815574,92367.80,2.0422970102e-06,122.16
20868958,8785,114053336,59815574,92690.88,2.0428831704e-06,122.20
20878958,12120,110966251,59815574,92417.35,2.0423984292e-06,122.17
20888958,1975,120384203,59815574,93253.07,2.0433800579e-06,122.23
20898958,2,122226240,59815574,94007.61,2.0434163208e-06,122.23
20908958,2,122226240,59815574,93923.45,2.0434162927e-06,122.23
20918958,2,122226240,59815574,93640.50,2.0434161981e-06,122.23
20938958,60284,66025419,59815574,93605.42,2.0472011088e-06,122.45
20948958,63240,63263540,59815574,93304.82,2.0441082117e-06,122.27
20958958,61433,64954401,59815574,93674.67,2.0479877033e-06,122.50
20968958,63331,63183180,59815574,93569.48,2.0469864155e-06,122.44
20978958,73863,53405791,59815574,92059.74,2.0296365310e-06,121.40
20988958,58946,67076512,59815574,92443.27,2.0323824455e-06,121.57
20998958,62885,63415208,59815574,93345.37,2.0415325778e-06,122.12
21008958,67434,59161970,59815574,92456.10,2.0313909996e-06,121.51
21018958,68521,58119396,59815574,92634.48,2.0328061544e-06,121.59
21028958,64053,62257295,59815574,92732.81,2.0338422654e-06,121.66
21038958,65063,61282772,59815574,91767.84,2.0227120418e-06,120.99
21048958,64587,61708744,59815574,91860.48,2.0235311020e-06,121.04
21058958,70841,55983233,59815574,91341.94,2.0177149504e-06,120.69
21068958,66721,59755966,59815574,91157.64,2.0158171177e-06,120.58
21078958,63936,62294599,59815574,91141.85,2.0156464744e-06,120.57
21088958,71007,55840030,59815574,91169.12,2.0158042652e-06,120.58
21098958,68753,57904939,59815574,91051.08,2.0146139285e-06,120.51
21108958,71028,55839059,59815574,90881.67,2.0126947637e-06,120.39
21118958,62847,63214036,59815574,90406.83,2.0067017496e-06,120.03
21128958,66254,60133289,59815574,90132.95,2.0036582982e-06,119.85
21138958,62814,63225516,59815574,89839.26,2.0004346846e-06,119.66
21148958,61859,64080402,59815574,90767.36,2.0099812670e-06,120.23
21158958,70849,55917970,59815574,90983.60,2.0125016818e-06,120.38
21168958,63251,62779004,59815574,90923.27,2.0109960153e-06,120.29
21178958,60600,65185743,59815574,91023.78,2.0119535378e-06,120.35
21188958,62658,63305068,59815574,90946.82,2.0110235749e-06,120.29
21198958,63709,62347388,59815574,90881.49,2.0102971313e-06,120.25
21208958,59634,65908935,59815574,90150.03,2.0006329253e-06,119.67
21218958,70539,56065627,59815574,90128.50,2.0001709010e-06,119.64
21228958,63826,62139623,59815574,90088.89,2.0001439410e-06,119.64
21238958,61110,64492744,59815574,91197.64,2.0099050005e-06,120.22
21248958,65611,60373131,59815574,90175.01,1.9984404015e-06,119.54
21258958,65113,60823656,59815574,90442.18,2.0013729701e-06,119.71
21268958,62229,63427685,59815574,90442.20,2.0013008890e-06,119.71
